data_hora,amostra_vaga,resultado_bruto
2025-09-01 16:23:07,"Estamos contratando Analista de Vendas B2B para atuar no setor de tecnologia. 
A empresa está em expansão e recentemente abriu novas filiais em São Paulo e Bel...","🔎 Sinais de crescimento: sim — menções a contratação/expansão
🔥 Classificação: QUENTE – stack e momento aderentes

📨 Mensagem sugerida:
Olá, tudo bem? Vi a publicação de Analista De Vendas B e percebi pontos que podemos acelerar.
Trabalhamos com prospecção inteligente: identificamos empresas-alvo, qualificamos por sinais de compra e geramos abordagens personalizadas. Isso reduz o tempo de pré-vendas e aumenta conversão.
Podemos conectar com o CRM de vocês (ex.: HubSpot/RD Station) e entregar leads já priorizados.
Se fizer sentido, te mostro um piloto em 20 minutos ainda esta semana."
2025-09-01 16:59:05,"Estamos contratando Analista de Vendas B2B para atuar no setor de tecnologia. 
A empresa está em expansão e recentemente abriu novas filiais em São Paulo e Bel...","🔎 Sinais de crescimento: sim — menções a contratação/expansão
🔥 Classificação: QUENTE – stack e momento aderentes

📨 Mensagem sugerida:
Olá, tudo bem? Vi a publicação de Analista De Vendas B e percebi pontos que podemos acelerar.
Trabalhamos com prospecção inteligente: identificamos empresas-alvo, qualificamos por sinais de compra e geramos abordagens personalizadas. Isso reduz o tempo de pré-vendas e aumenta conversão.
Podemos conectar com o CRM de vocês (ex.: HubSpot/RD Station) e entregar leads já priorizados.
Se fizer sentido, te mostro um piloto em 20 minutos ainda esta semana."
2025-09-01 17:10:14,"Estamos contratando Analista de Vendas B2B para atuar no setor de tecnologia. 
A empresa está em expansão e recentemente abriu novas filiais em São Paulo e Bel...","🔎 Sinais de crescimento: sim — menções a contratação/expansão
🔥 Classificação: QUENTE – stack e momento aderentes

📨 Mensagem sugerida:
Olá, tudo bem? Vi a publicação de Analista De Vendas B e percebi pontos que podemos acelerar.
Trabalhamos com prospecção inteligente: identificamos empresas-alvo, qualificamos por sinais de compra e geramos abordagens personalizadas. Isso reduz o tempo de pré-vendas e aumenta conversão.
Podemos conectar com o CRM de vocês (ex.: HubSpot/RD Station) e entregar leads já priorizados.
Se fizer sentido, te mostro um piloto em 20 minutos ainda esta semana."
2025-09-01 17:12:55,"Estamos contratando Analista de Vendas B2B para atuar no setor de tecnologia. 
A empresa está em expansão e recentemente abriu novas filiais em São Paulo e Bel...","🔎 Sinais de crescimento: sim — menções a contratação/expansão
🔥 Classificação: QUENTE – stack e momento aderentes

📨 Mensagem sugerida:
Olá, tudo bem? Vi a publicação de Analista De Vendas B e percebi pontos que podemos acelerar.
Trabalhamos com prospecção inteligente: identificamos empresas-alvo, qualificamos por sinais de compra e geramos abordagens personalizadas. Isso reduz o tempo de pré-vendas e aumenta conversão.
Podemos conectar com o CRM de vocês (ex.: HubSpot/RD Station) e entregar leads já priorizados.
Se fizer sentido, te mostro um piloto em 20 minutos ainda esta semana."
2025-09-01 17:13:42,"Estamos contratando Analista de Vendas B2B para atuar no setor de tecnologia. 
A empresa está em expansão e recentemente abriu novas filiais em São Paulo e Bel...","🔎 Sinais de crescimento: sim — menções a contratação/expansão
🔥 Classificação: QUENTE – stack e momento aderentes

📨 Mensagem sugerida:
Olá, tudo bem? Vi a publicação de Analista De Vendas B e percebi pontos que podemos acelerar.
Trabalhamos com prospecção inteligente: identificamos empresas-alvo, qualificamos por sinais de compra e geramos abordagens personalizadas. Isso reduz o tempo de pré-vendas e aumenta conversão.
Podemos conectar com o CRM de vocês (ex.: HubSpot/RD Station) e entregar leads já priorizados.
Se fizer sentido, te mostro um piloto em 20 minutos ainda esta semana."
2025-09-01 19:06:57,pt,vagas,software companies hiring developers remote,,"Modo demonstração: sem IA e sem URLs para validar.
Forneça URLs, use CSV, ou ative a busca automática."
2025-09-01 19:07:38,pt,vagas,software companies hiring developers remote,,"Modo demonstração: sem IA e sem URLs para validar.
Forneça URLs, use CSV, ou ative a busca automática."
2025-09-01 19:08:00,fr,vagas,startups contratando analistas de marketing 2025,,"Modo demonstração: sem IA e sem URLs para validar.
Forneça URLs, use CSV, ou ative a busca automática."
